| Label | Accuracy | Precision | Recall | F1_score |
|-------|----------|-----------|--------|----------|
| Global resutls |  24.1 |  28.5 |  24.1 |  22.2 |
| Speed limit 20 | 78.7 | 82.3 | 93.0 | 87.3 |
| Speed limit 30 | 60.2 | 63.3 | 81.0 | 71.1 |
| Speed limit 50 | 54.6 | 84.0 | 21.0 | 33.6 |
| Speed limit 60 | 46.9 | 45.0 | 59.0 | 51.1 |
| Speed limit 70 | 76.9 | 86.5 | 83.0 | 84.7 |
| Speed limit 80 | 55.9 | 69.1 | 38.0 | 49.0 |
| End of speed limit 80 | 44.1 | 32.9 | 26.0 | 29.1 |
| Speed limit 100 | 69.4 | 86.8 | 66.0 | 75.0 |
| Speed limit 120 | 59.5 | 71.6 | 53.0 | 60.9 |
| No overtaking | 49.5 | 33.3 | 2.0 | 3.8 |
| No overtaking for trucks | 33.4 | 2.9 | 3.0 | 2.9 |
| Give way | 47.4 | 0.0 | 0.0 | 0.0 |
| Priority road | 49.0 | 25.0 | 2.0 | 3.7 |
| Yield | 50.5 | 75.0 | 3.0 | 5.8 |
| Stop | 86.2 | 89.6 | 95.0 | 92.2 |
| Road closed | 50.0 | 0.0 | 0.0 | 0.0 |
| Heavy vehicles prohibited | 17.8 | 15.4 | 81.0 | 25.9 |
| Do not enter | 48.3 | 29.4 | 5.0 | 8.5 |
| General warning | 9.9 | 8.1 | 78.0 | 14.6 |
| Left bend | 46.3 | 0.0 | 0.0 | 0.0 |
| Right bend | 46.5 | 0.0 | 0.0 | 0.0 |
| Double bend | 46.7 | 0.0 | 0.0 | 0.0 |
| Uneven road | 33.9 | 3.9 | 4.0 | 3.9 |
| Slippery road | 27.5 | 15.6 | 37.0 | 22.0 |
| Narrow road | 44.8 | 4.0 | 1.0 | 1.6 |
| Roadworks ahead | 36.8 | 17.3 | 19.0 | 18.1 |
| Traffic signals ahead | 48.3 | 0.0 | 0.0 | 0.0 |
| Pedestrian crossing | 41.8 | 35.3 | 47.0 | 40.3 |
| Watch for children | 16.5 | 1.7 | 7.0 | 2.7 |
| Bicycle crossing | 63.3 | 95.7 | 44.0 | 60.3 |
| Snow | 57.5 | 86.1 | 31.0 | 45.6 |
| Cattle on the road | 46.1 | 9.5 | 2.0 | 3.3 |
| End of all restrictions | 48.8 | 0.0 | 0.0 | 0.0 |
| Turn right ahead | 41.5 | 20.3 | 14.0 | 16.6 |
| Turn left ahead | 32.7 | 10.4 | 14.0 | 12.0 |
| Straight ahead only | 49.8 | 0.0 | 0.0 | 0.0 |
| Ahead or turn right only | 44.6 | 0.0 | 0.0 | 0.0 |
| Ahead or turn left only | 42.6 | 0.0 | 0.0 | 0.0 |
| Bypass on right | 39.4 | 0.0 | 0.0 | 0.0 |
| Bypass on left | 40.3 | 10.0 | 6.0 | 7.5 |
| Roundabout | 35.7 | 16.7 | 20.0 | 18.2 |
| End of no overtaking zone | 37.7 | 1.5 | 1.0 | 1.2 |
| End of no overtaking zone for trucks | 44.6 | 0.0 | 0.0 | 0.0 |
